uuid,age,gender,education,occupation,country,race,nationality,income_category,target_words,n_texts,repeat_id,q_aut_1,q_aut_2,q_aut_3,q_aut_4,q_com_1,q_com_2,q_com_3,q_com_4,q_rel_1,q_rel_2,q_rel_3,q_rel_4,word_count,llm_aut,llm_com,llm_rel
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",50,1,1,3,3,4,4,4,4,4,4,4,4,4,4,54,3,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",50,1,2,3,3,4,4,4,4,4,4,4,4,4,4,54,3,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",50,1,3,3,3,4,4,4,4,4,4,4,4,4,4,54,3,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",50,3,1,3,3,4,4,4,4,4,4,4,4,4,4,155,3,3,4
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",50,3,2,3,3,4,4,4,4,4,4,4,4,4,4,155,3,3,4
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",50,3,3,3,3,4,4,4,4,4,4,4,4,4,4,155,3,3,4
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",50,5,1,3,3,4,4,4,4,4,4,4,4,4,4,262,3,3,4
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",50,5,2,3,3,4,4,4,4,4,4,4,4,4,4,262,3,3,4
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",50,5,3,3,3,4,4,4,4,4,4,4,4,4,4,262,3,3,4
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",150,1,1,3,3,4,4,4,4,4,4,4,4,4,4,145,4,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",150,1,2,3,3,4,4,4,4,4,4,4,4,4,4,145,4,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",150,1,3,3,3,4,4,4,4,4,4,4,4,4,4,145,4,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",150,3,1,3,3,4,4,4,4,4,4,4,4,4,4,418,4,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",150,3,2,3,3,4,4,4,4,4,4,4,4,4,4,418,4,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",150,3,3,3,3,4,4,4,4,4,4,4,4,4,4,418,4,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",150,5,1,3,3,4,4,4,4,4,4,4,4,4,4,693,3,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",150,5,2,3,3,4,4,4,4,4,4,4,4,4,4,693,4,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",150,5,3,3,3,4,4,4,4,4,4,4,4,4,4,693,3,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",300,1,1,3,3,4,4,4,4,4,4,4,4,4,4,282,3,4,4
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",300,1,2,3,3,4,4,4,4,4,4,4,4,4,4,282,3,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",300,1,3,3,3,4,4,4,4,4,4,4,4,4,4,282,3,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",300,3,1,3,3,4,4,4,4,4,4,4,4,4,4,835,3,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",300,3,2,3,3,4,4,4,4,4,4,4,4,4,4,835,3,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",300,3,3,3,3,4,4,4,4,4,4,4,4,4,4,835,3,4,3
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",300,5,1,3,3,4,4,4,4,4,4,4,4,4,4,1364,3,4,4
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",300,5,2,3,3,4,4,4,4,4,4,4,4,4,4,1364,3,4,4
0899064dcc7b49288d693f3fbe0f7a01,30 - 39,Male,Other,Police Officer,USA,White,American,"From $55,001 to $89,744",300,5,3,3,3,4,4,4,4,4,4,4,4,4,4,1364,3,4,4
9a70e614c67a44519102ace5d64fddcf,60 - 64,Female,High School,Baker,USA,White,American,"From $28,008 to $55,000",50,1,1,4,4,4,4,4,5,4,4,5,5,5,5,48,2,3,3
9a70e614c67a44519102ace5d64fddcf,60 - 64,Female,High School,Baker,USA,White,American,"From $28,008 to $55,000",50,1,2,4,4,4,4,4,5,4,4,5,5,5,5,48,3,3,3
9a70e614c67a44519102ace5d64fddcf,60 - 64,Female,High School,Baker,USA,White,American,"From $28,008 to $55,000",50,1,3,4,4,4,4,4,5,4,4,5,5,5,5,48,3,3,3
9a70e614c67a44519102ace5d64fddcf,60 - 64,Female,High School,Baker,USA,White,American,"From $28,008 to $55,000",50,3,1,4,4,4,4,4,5,4,4,5,5,5,5,147,3,3,3
9a70e614c67a44519102ace5d64fddcf,60 - 64,Female,High School,Baker,USA,White,American,"From $28,008 to $55,000",50,3,2,4,4,4,4,4,5,4,4,5,5,5,5,147,3,3,3
9a70e614c67a44519102ace5d64fddcf,60 - 64,Female,High School,Baker,USA,White,American,"From $28,008 to $55,000",50,3,3,4,4,4,4,4,5,4,4,5,5,5,5,147,3,3,3
9a70e614c67a44519102ace5d64fddcf,60 - 64,Female,High School,Baker,USA,White,American,"From $28,008 to $55,000",50,5,1,4,4,4,4,4,5,4,4,5,5,5,5,250,3,4,3
9a70e614c67a44519102ace5d64fddcf,60 - 64,Female,High School,Baker,USA,White,American,"From $28,008 to $55,000",50,5,2,4,4,4,4,4,5,4,4,5,5,5,5,250,4,4,3
9a70e614c67a44519102ace5d64fddcf,60 - 64,Female,High School,Baker,USA,White,American,"From $28,008 to $55,000",50,5,3,4,4,4,4,4,5,4,4,5,5,5,5,250,3,4,3
9a70e614c67a44519102ace5d64fddcf,60 - 64,Female,High School,Baker,USA,White,American,"From $28,008 to $55,000",150,1,1,4,4,4,4,4,5,4,4,5,5,5,5,150,4,4,3
9a70e614c67a44519102ace5d64fddcf,60 - 64,Female,High School,Baker,USA,White,American,"From $28,008 to $55,000",150,1,2,4,4,4,4,4,5,4,4,5,5,5,5,150,4,4,3
